Symbol,Sector,Mktcap,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,BreakoutCount
63MOONS,IT - Software/Consulting,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
AADHARHFC,Financials - Housing,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
AAVAS,Financials - Housing,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
ABBOTINDIA,Healthcare - Formulations - OTC,MidCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
ABCAPITAL,Financials - Diversified,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ACUTAAS,Healthcare - API/Drug,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
AEROFLEX,Metals - Pipe & Tube,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
AFFLE,IT - Services,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
AGI,Packaging - Rigid,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
AGIIL,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
AIIL,Financials - NBFC,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,3
ALKYLAMINE,Chemicals - Specialty - Pharma,SmallCap,Other,Other,Breakdown,Other,Other,Other,Other,Breakout,Other,Other,1
AMBER,Consumption - Appliances,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
ANANDRATHI,Financials - WMC,SmallCap,Other,Other,Breakdown,Other,Other,Other,Other,Other,Breakout,Other,1
ANUP,Industial Products - Process Equipment & Fabrication,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ANURAS,Chemicals - Specialty - Pharma,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
APOLLO,Defense - Technology & Electronics,SmallCap,Other,Other,Breakout,Other,Other,Other,Breakout,Other,Other,Other,2
ARIHANTSUP,Real Estate,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
ARTEMISMED,Healthcare - Hospitals,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ASAHIINDIA,Auto - Glass/Body,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Other,2
ASTERDM,Healthcare - Hospitals,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ASTRAZEN,Healthcare - Formulations - Specialty,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
AVALON,Electronics - EMS,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
AVANTIFEED,Agri - Animal Feed,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
